External URL, Name, Images, Sale price, Regular price, Categories, Type
"https://www.awin1.com/pclick.php?p=21782371155&a=525247&m=2832", "Under Armour Curry 3 Hi Trainer Birthday White / Blue", "https://www.footasylum.com/images/products/medium/109093.jpg", "74.99", 149.99, "Mens, Shoes", "simple"
"https://www.awin1.com/pclick.php?p=22525649493&a=525247&m=2832", "Under Armour Curry 3 Hi Trainer Nightvision Grey / Black", "https://www.footasylum.com/images/products/medium/109096.jpg", "64.99", 149.99, "Mens, Shoes", "simple"
"https://www.awin1.com/pclick.php?p=4685895491&a=525247&m=2832", "Cayler & Sons Chutoro Shoe Sand / Sand", "https://www.footasylum.com/images/products/medium/109216.jpg", "39.99", 79.99, "Mens, Shoes", "simple"
"https://www.awin1.com/pclick.php?p=5171395537&a=525247&m=2832", "Cayler & Sons Sashimi Suede Trainer Sand / Sand", "https://www.footasylum.com/images/products/medium/109217.jpg", "39.99", 89.99, "Mens, Shoes", "simple"
"https://www.awin1.com/pclick.php?p=21860414017&a=525247&m=2832", "Cayler & Sons Hamachi Camo Canvas Trainer Sand / Camo", "https://www.footasylum.com/images/products/medium/109218.jpg", "49.99", 99.99, "Mens, Shoes", "simple"
"https://www.awin1.com/pclick.php?p=22012800363&a=525247&m=2832", "Cayler & Sons Chutoro Block Trainer White / Black", "https://www.footasylum.com/images/products/medium/109219.jpg", "39.99", 79.99, "Mens, Shoes", "simple"
"https://www.awin1.com/pclick.php?p=4685900461&a=525247&m=2832", "Cayler & Sons Chutoro Shoe Grey / Grey", "https://www.footasylum.com/images/products/medium/109220.jpg", "34.99", 79.99, "Mens, Shoes", "simple"
"https://www.awin1.com/pclick.php?p=5171395541&a=525247&m=2832", "Cayler & Sons Sashimi Suede Trainer Grey / Grey", "https://www.footasylum.com/images/products/medium/109221.jpg", "39.99", 89.99, "Mens, Shoes", "simple"
"https://www.awin1.com/pclick.php?p=22838135179&a=525247&m=2832", "Cayler & Sons Hamachi Boot Trainer Olive / Olive", "https://www.footasylum.com/images/products/medium/109222.jpg", "49.99", 99.99, "Mens, Shoes", "simple"
"https://www.awin1.com/pclick.php?p=3729216901&a=525247&m=2832", "Twinzz Boxed Beanie Hat Khaki", "https://www.footasylum.com/images/products/medium/109248.jpg", "9.99", 29.99, "Mens, Accessories", "simple"
"https://www.awin1.com/pclick.php?p=3729216905&a=525247&m=2832", "Twinzz Boxed Beanie Hat Stone", "https://www.footasylum.com/images/products/medium/109250.jpg", "9.99", 29.99, "Mens, Accessories", "simple"
"https://www.awin1.com/pclick.php?p=3856712339&a=525247&m=2832", "Womens Court Vantage Trainer Copper Metallic", "https://www.footasylum.com/images/products/medium/109286.jpg", "24.99", 49.99, "Ladies, Shoes and Bags", "simple"
"https://www.awin1.com/pclick.php?p=22973826517&a=525247&m=2832", "adidas Originals Carozoon LG Slide Mystic Blue / White", "https://www.footasylum.com/images/products/medium/109323.jpg", "9.99", 19.99, "Mens, Shoes", "simple"
"https://www.awin1.com/pclick.php?p=5318854443&a=525247&m=2832", "adidas Originals Trefoil Tank Top Black / White", "https://www.footasylum.com/images/products/medium/109328.jpg", "9.99", 19.99, "Mens, Clothing", "simple"
"https://www.awin1.com/pclick.php?p=21418195983&a=525247&m=2832", "Nursery X PLR Trainer Red / Black", "https://www.footasylum.com/images/products/medium/109359.jpg", "19.99", 39.99, "Children, Everything Else", "simple"
"https://www.awin1.com/pclick.php?p=3758961819&a=525247&m=2832", "Sik Silk Suede Wave T-Shirt Stone", "https://www.footasylum.com/images/products/medium/109402.jpg", "19.99", 39.99, "Mens, Clothing", "simple"
"https://www.awin1.com/pclick.php?p=21994293535&a=525247&m=2832", "Asics Gel-Lyte Runner Trainer Grey / White", "https://www.footasylum.com/images/products/medium/109441.jpg", "29.99", 59.99, "Mens, Shoes", "simple"
"https://www.awin1.com/pclick.php?p=22396623709&a=525247&m=2832", "Condemned Nation Rucko Carrot Fit Denim Jean Khaki", "https://www.footasylum.com/images/products/medium/109786.jpg", "14.99", 54.99, "Mens, Clothing", "simple"
