External URL, SKU, Name, Images, Sale price, Regular price, Categories, Type
"https://www.awin1.com/pclick.php?p=5171395537&a=525247&m=2832", "5171395537", "Cayler & Sons Sashimi Suede Trainer Sand / Sand", "https://www.footasylum.com/images/products/medium/109217.jpg", "29.99", 89.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=23077833293&a=525247&m=2832", "23077833293", "Cayler & Sons Hamachi Camo Canvas Trainer Sand / Camo", "https://www.footasylum.com/images/products/medium/109218.jpg", "29.99", 99.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=4685900461&a=525247&m=2832", "4685900461", "Cayler & Sons Chutoro Shoe Grey / Grey", "https://www.footasylum.com/images/products/medium/109220.jpg", "34.99", 79.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=5171395541&a=525247&m=2832", "5171395541", "Cayler & Sons Sashimi Suede Trainer Grey / Grey", "https://www.footasylum.com/images/products/medium/109221.jpg", "39.99", 89.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=3729216901&a=525247&m=2832", "3729216901", "Twinzz Boxed Beanie Hat Khaki", "https://www.footasylum.com/images/products/medium/109248.jpg", "9.99", 29.99, "Men, Accessories", "external"
"https://www.awin1.com/pclick.php?p=3856712339&a=525247&m=2832", "3856712339", "Womens Court Vantage Trainer Copper Metallic", "https://www.footasylum.com/images/products/medium/109286.jpg", "24.99", 49.99, "Ladies, Shoes and Bags", "external"
"https://www.awin1.com/pclick.php?p=23117570659&a=525247&m=2832", "23117570659", "adidas Originals Carozoon LG Slide Mystic Blue / White", "https://www.footasylum.com/images/products/medium/109323.jpg", "9.99", 19.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=23073324873&a=525247&m=2832", "23073324873", "Nursery X PLR Trainer Red / Black", "https://www.footasylum.com/images/products/medium/109359.jpg", "19.99", 39.99, "Children, Everything Else", "external"
"https://www.awin1.com/pclick.php?p=23052211861&a=525247&m=2832", "23052211861", "Chuck Taylor All Star II Ox Trainer Khaki / White", "https://www.footasylum.com/images/products/medium/110510.jpg", "29.99", 59.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=23132811039&a=525247&m=2832", "23132811039", "Farah Merriweather Short Sleeve Polo Shirt Pink Marl", "https://www.footasylum.com/images/products/medium/110558.jpg", "9.99", 44.99, "Men, Clothing", "external"
"https://www.awin1.com/pclick.php?p=23270062449&a=525247&m=2832", "23270062449", "Havaianas Brasil Flip Flop Blue / Steel", "https://www.footasylum.com/images/products/medium/110603.jpg", "9.99", 19.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=21380407105&a=525247&m=2832", "21380407105", "New Balance MD373 Tech Mesh Trainer White / White", "https://www.footasylum.com/images/products/medium/110695.jpg", "24.99", 59.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=23024631529&a=525247&m=2832", "23024631529", "Condemned Nation Saxon Chelsea Boot Beige", "https://www.footasylum.com/images/products/medium/110721.jpg", "24.99", 59.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=23202443611&a=525247&m=2832", "23202443611", "Condemned Nation Roman Chelsea Boot Black", "https://www.footasylum.com/images/products/medium/110722.jpg", "24.99", 59.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=22913057127&a=525247&m=2832", "22913057127", "Condemned Nation Roman Chelsea Boot Taupe", "https://www.footasylum.com/images/products/medium/110726.jpg", "24.99", 59.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=22413255623&a=525247&m=2832", "22413255623", "Condemned Nation Roman Chelsea Boot Brown", "https://www.footasylum.com/images/products/medium/110727.jpg", "19.99", 59.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=22268220719&a=525247&m=2832", "22268220719", "Slydes Womens Palm Jungle Slide White", "https://www.footasylum.com/images/products/medium/110791.jpg", "9.99", 19.99, "Ladies, Shoes and Bags", "external"
"https://www.awin1.com/pclick.php?p=23270062451&a=525247&m=2832", "23270062451", "Lacoste Straightset Canvas Trainer Light Tan", "https://www.footasylum.com/images/products/medium/110839.jpg", "19.99", 69.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=23257914981&a=525247&m=2832", "23257914981", "4Bidden Overhead Half Zip Puffer Jacket Black / 3M", "https://www.footasylum.com/images/products/medium/110992.jpg", "19.99", 69.99, "Men, Clothing", "external"
"https://www.awin1.com/pclick.php?p=22089083931&a=525247&m=2832", "22089083931", "Penn Sport Jordan Poly Hooded 3M Top Black", "https://www.footasylum.com/images/products/medium/111031.jpg", "24.99", 54.99, "Men, Clothing", "external"
"https://www.awin1.com/pclick.php?p=22588521961&a=525247&m=2832", "22588521961", "Tommy Jeans Cold Dye Jacket Khaki", "https://www.footasylum.com/images/products/medium/111075.jpg", "44.99", 129.99, "Men, Clothing", "external"
"https://www.awin1.com/pclick.php?p=23270062453&a=525247&m=2832", "23270062453", "Gym King Full Zip Windrunner Jacket Burnt Olive", "https://www.footasylum.com/images/products/medium/111132.jpg", "14.99", 59.99, "Men, Clothing", "external"
"https://www.awin1.com/pclick.php?p=21853555803&a=525247&m=2832", "21853555803", "Gym King Swim Short White / Black", "https://www.footasylum.com/images/products/medium/111243.jpg", "14.99", 29.99, "Men, Clothing", "external"
"https://www.awin1.com/pclick.php?p=21370263793&a=525247&m=2832", "21370263793", "Gym King Taped Poly Pant Sand", "https://www.footasylum.com/images/products/medium/111255.jpg", "19.99", 39.99, "Men, Clothing", "external"
"https://www.awin1.com/pclick.php?p=23141478857&a=525247&m=2832", "23141478857", "adidas Originals Alphabounce EM Trainer Trace Olive / Trace Cargo / White", "https://www.footasylum.com/images/products/medium/111273.jpg", "39.99", 84.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=22607889701&a=525247&m=2832", "22607889701", "adidas Originals Alphabounce EM Trainer Chalk / White", "https://www.footasylum.com/images/products/medium/111274.jpg", "39.99", 84.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=22773217165&a=525247&m=2832", "22773217165", "X PLR Knit Trainer Light Grey / White", "https://www.footasylum.com/images/products/medium/111293.jpg", "39.99", 79.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=14927063601&a=525247&m=2832", "14927063601", "X PLR Sneakerboot Trace Cargo / Black", "https://www.footasylum.com/images/products/medium/111300.jpg", "39.99", 84.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=23242617291&a=525247&m=2832", "23242617291", "EQT Support ADV Primeknit Trainer White / White / Sub Green", "https://www.footasylum.com/images/products/medium/111302.jpg", "49.99", 119.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=22893681633&a=525247&m=2832", "22893681633", "EQT Support ADV Primeknit Trainer Core Black / Footwear White", "https://www.footasylum.com/images/products/medium/111304.jpg", "59.99", 119.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=15117542363&a=525247&m=2832", "15117542363", "EQT Support 93/17 Trainer Black / White", "https://www.footasylum.com/images/products/medium/111305.jpg", "64.99", 149.99, "Men, Shoes", "external"
